Time (s),Thrust (lbf),Chamber (°C),Chamber (psi),Feedline (psi),Injector (psi),Ox Tank (psi)
0.25333,-103.6434,25.83988,0.71453,657.14899,666.78379,665.1164
0.25667,-99.7404,25.46051,2.03873,657.48353,667.95469,666.12003
0.26,-107.5464,25.46051,-0.27861,656.64718,666.78379,666.45464
0.26333,-97.13791,25.52373,0.54901,656.64718,666.11464,665.45094
0.26667,-97.13791,26.09282,0.88006,655.97803,666.78379,664.44732
0.27,-101.0414,26.02959,0.71453,658.48716,666.44924,665.61822
0.27333,-95.83691,25.71342,-0.44414,657.14899,667.11833,667.79281
0.27667,-93.23491,25.46051,-0.44414,656.31257,667.62014,666.12003
0.28,-103.6434,25.83988,0.21795,656.1453,679.83134,670.46921
0.28333,-89.33191,26.15604,2.20425,657.31626,667.2856,665.1164
0.28667,-104.9444,25.52373,1.54216,656.98172,669.29292,666.12003
0.29,-108.8474,25.71342,-0.94072,656.64718,666.61652,668.12735
0.29333,-103.6434,25.58696,-0.27861,656.1453,665.61282,665.61822
0.29667,-103.6434,26.15604,1.04558,657.81808,666.61652,666.12003
0.3,-97.13791,25.46051,0.21795,656.81445,667.62014,666.45464
0.30333,-101.0414,25.71342,0.05243,654.9744,666.11464,666.62191
0.30667,-101.0414,25.65019,1.54216,656.98172,666.28197,665.45094
0.31,-111.4494,25.58696,1.54216,659.15631,667.45287,665.95276
0.31333,-104.9444,25.39728,-0.27861,656.98172,668.28929,667.62554
0.31667,-97.13791,25.65019,0.21795,655.97803,664.94374,667.12372
0.32,-97.13791,26.09282,0.05243,657.6508,666.44924,664.61459
0.32333,-114.0514,25.96633,2.36977,657.48353,666.78379,666.45464
0.32667,-99.7404,25.71342,0.88006,656.98172,668.12196,667.62554
0.33,-97.13791,25.71342,0.54901,656.1453,665.94737,666.78918
0.33333,-102.3424,25.58696,1.04558,656.64718,665.11101,666.28737
0.33667,-94.53591,25.96633,1.87321,658.31989,667.78742,668.62923
0.34,-108.8474,25.58696,-0.60966,657.48353,666.44924,667.12372
0.34333,-99.7404,25.77665,0.88006,656.1453,664.94374,666.12003
0.34667,-90.63291,25.71342,1.70768,657.6508,666.28197,666.45464
0.35,-106.2454,25.52373,0.21795,657.14899,667.2856,667.45827
0.35333,-104.9444,25.83988,1.87321,657.31626,666.11464,665.78549
0.35667,-97.13791,25.27082,1.2111,657.81808,667.78742,667.29099
0.36,-103.6434,25.71342,-0.11309,656.47984,666.11464,665.45094
0.36333,-106.2454,25.71342,2.53531,657.6508,666.78379,666.28737
0.36667,-107.5464,26.02959,1.37664,657.81808,667.95469,666.45464
0.37,-102.3424,26.02959,0.21795,656.81445,666.61652,666.78918
0.37333,-93.23491,25.96633,1.37664,656.98172,666.28197,665.1164
