Time (s),Thrust (lbf),Chamber (°C),Chamber (psi),Feedline (psi),Injector (psi),Ox Tank (psi)
5.06667,77.20102,26.47219,153.65941,655.97803,641.02323,641.19589
5.07,39.47103,27.1045,157.46646,657.48353,641.35777,640.52681
5.07333,86.30802,26.53542,152.16966,658.82177,641.85958,642.19952
5.07667,127.94149,26.97804,151.50758,656.81445,640.35414,641.19589
5.08,100.61951,26.85158,154.81808,656.98172,639.01591,639.35584
5.08333,71.99701,26.7251,162.10117,658.15262,639.51772,641.36316
5.08667,124.03849,26.47219,167.89452,657.14899,643.19782,641.86498
5.09,103.22151,26.15604,170.04634,656.64718,640.68868,641.19589
5.09333,137.04849,26.59864,171.70161,654.47252,638.51409,640.86135
5.09667,90.21151,26.78833,172.36369,656.81445,638.84864,639.69039
5.1,153.96199,26.34573,169.7153,657.98535,638.17955,639.85766
5.10333,129.24249,26.15604,171.37054,657.81808,637.34313,641.86498
5.10667,127.94149,26.53542,170.87398,655.97803,636.50677,639.0213
5.11,161.76848,26.2825,166.57033,657.81808,636.84131,638.18494
5.11333,238.52994,25.83988,167.23241,658.31989,637.67767,638.68676
5.11667,234.62645,26.21927,168.72215,658.82177,638.17955,638.35221
5.12,221.61645,26.2825,171.20502,656.47984,635.83762,638.18494
5.12333,237.22845,26.78833,172.52921,656.31257,632.32486,638.35221
5.12667,173.47797,27.23095,168.22556,656.98172,634.49945,636.34489
5.13,211.20795,26.91481,166.73585,658.15262,633.66303,637.34852
5.13333,127.94149,26.59864,175.0121,658.31989,635.16854,636.84671
5.13667,113.63,26.53542,175.34314,656.31257,636.17223,637.34852
5.14,199.49846,26.53542,167.89452,655.14167,634.33218,636.17762
5.14333,242.43294,26.53542,181.30204,657.14899,632.82667,635.50847
5.14667,216.41196,26.34573,192.39219,657.6508,633.66303,635.50847
5.15,410.26686,26.78833,187.92303,658.48716,631.48844,636.51216
5.15333,319.19391,26.85158,179.64678,657.31626,626.80471,635.67574
5.15667,346.51589,27.1045,184.28146,657.81808,629.81572,633.83576
5.16,323.0974,27.04127,185.44013,657.6508,628.81203,634.67212
5.16333,313.98991,27.16773,185.27461,656.47984,630.98662,633.83576
5.16667,271.05543,27.98972,197.19239,659.49085,629.64845,632.83207
5.17,235.92745,27.73681,197.8545,657.14899,631.82305,633.16661
5.17333,161.76848,27.98972,200.00632,657.14899,626.80471,634.33757
5.17667,246.33594,28.74849,211.09647,656.47984,627.8084,631.32656
5.18,251.53994,28.68526,217.05537,657.48353,626.47017,632.49752
5.18333,246.33594,29.0014,214.07592,656.1453,626.47017,633.66842
5.18667,341.31189,28.5588,215.23459,656.31257,623.45922,630.99202
5.19,363.42939,28.81172,222.84873,657.48353,624.63012,631.49383
5.19333,451.89985,29.3808,229.80078,657.81808,623.12468,632.83207
5.19667,394.65437,29.19109,227.98,657.48353,624.63012,631.32656
5.2,375.13888,29.76017,210.93095,656.31257,622.79007,629.48651
5.20333,333.5054,30.07631,199.50976,657.31626,623.12468,628.65015
5.20667,282.76493,30.07631,200.99947,657.48353,621.78644,629.31924
5.21,302.28042,29.94986,182.79175,655.97803,621.95371,629.65385
5.21333,164.37048,29.94986,170.37738,657.48353,620.28094,629.82112
5.21667,164.37048,30.51894,164.41851,658.82177,622.12099,626.47556
5.22,124.03849,30.39248,166.73585,656.98172,623.45922,627.64653
5.22333,228.12145,30.32925,173.35684,654.9744,622.45553,628.31561
5.22667,194.29446,30.83508,183.28831,656.1453,619.94639,626.97738
5.23,230.72345,30.89833,187.92303,656.31257,621.28463,626.30829
5.23333,272.35692,30.83508,203.48233,658.65443,620.28094,627.31192
5.23667,264.55043,31.21448,207.45494,658.15262,621.4519,628.14834
5.24,303.58142,30.83508,205.46864,656.47984,619.77912,626.64283
5.24333,302.28042,31.78356,205.46864,657.31626,617.7718,625.30466
5.24667,268.45343,31.40416,210.93095,657.6508,615.93175,626.14102
5.25,308.78591,31.2777,213.57936,657.14899,620.28094,624.30097
5.25333,311.38791,31.65708,224.17295,656.47984,619.11004,626.30829
5.25667,313.98991,32.0997,233.9389,656.47984,620.61548,623.63188
5.26,263.24943,32.41584,240.72541,658.48716,619.27731,623.29734
5.26333,324.3984,32.03647,239.89778,657.31626,618.60822,623.63188
5.26667,325.6994,32.03647,213.74488,655.81076,616.43363,625.47193
5.27,332.2044,32.54232,203.81341,655.64348,613.08808,623.96643
5.27333,307.48491,33.04815,214.07592,656.64718,614.25904,621.95911
5.27667,307.48491,32.79524,216.55881,658.48716,616.2663,623.13007
5.28,277.56092,32.47907,205.79968,657.81808,616.43363,622.12638
5.28333,284.06593,33.04815,210.59991,657.14899,615.42994,620.62087
5.28667,191.69246,33.04815,209.9378,657.48353,615.76448,621.79184
5.29,189.09046,32.47907,208.94465,655.64348,613.42262,621.62456
5.29333,219.01396,33.55401,214.73803,657.31626,610.91348,618.94816
5.29667,232.02445,33.04815,211.42754,657.98535,614.76085,620.62087
5.3,285.36693,33.55401,215.40011,657.6508,613.42262,620.4536
5.30333,312.68891,33.68046,218.71063,659.15631,614.76085,618.94816
5.30667,354.3219,33.80692,210.10332,656.98172,616.43363,620.78814
5.31,340.01089,33.36432,209.9378,656.47984,609.24071,620.28633
5.31333,295.77542,34.12306,211.9241,656.98172,609.24071,616.77357
5.31667,290.57142,33.80692,210.76543,658.48716,610.91348,618.61355
5.32,235.92745,33.74369,211.09647,657.14899,611.58257,619.2827
5.32333,239.83094,33.93338,207.78598,656.81445,611.58257,619.2827
5.32667,226.82045,34.31277,210.10332,656.47984,611.91711,617.10811
5.33,225.51945,33.74369,213.9104,656.81445,613.92443,617.77719
5.33333,209.90695,33.93338,211.42754,657.6508,609.07343,617.60992
5.33667,224.21845,34.12306,209.9378,656.1453,607.90253,616.77357
5.34,255.44343,34.56569,209.9378,658.15262,606.39703,616.77357
5.34333,306.18391,33.93338,211.42754,658.48716,609.40798,615.6026
5.34667,313.98991,33.87015,208.77913,656.98172,610.57894,616.94084
5.35,285.36693,34.31277,210.26887,656.31257,608.90616,615.93715
5.35333,286.66793,34.31277,210.59991,657.98535,608.23708,614.0971
5.35667,277.56092,34.24954,211.26202,657.98535,608.57162,614.93352
5.36,300.97942,34.376,208.94465,656.98172,609.07343,615.76987
5.36333,251.53994,34.62892,208.77913,656.1453,606.06249,616.10442
5.36667,260.64743,34.75537,208.94465,656.64718,607.40066,612.08978
5.37,237.22845,34.56569,210.93095,657.48353,609.24071,614.4317
5.37333,259.34643,34.18632,210.76543,657.98535,609.74252,614.93352
5.37667,264.55043,34.376,205.79968,657.48353,606.5643,613.59528
5.38,261.94843,34.88183,208.61361,657.6508,604.72425,613.76255
5.38333,302.28042,34.8186,210.43439,657.31626,605.89521,612.59165
5.38667,274.95892,34.50246,211.26202,657.81808,605.39334,611.42069
5.39,241.13194,34.56569,210.59991,657.48353,607.90253,613.09347
5.39333,251.53994,34.94506,209.1102,657.81808,605.56061,613.92983
5.39667,267.15243,35.07154,205.1376,654.9744,605.39334,612.25711
5.4,246.33594,35.00831,206.46179,657.14899,602.8842,611.25342
5.40333,255.44343,35.26123,210.93095,658.48716,603.05147,612.08978
5.40667,256.74443,35.13477,208.28257,658.31989,604.72425,611.9225
5.41,252.84094,35.07154,207.1239,655.81076,606.06249,612.75893
5.41333,255.44343,35.198,207.62046,656.1453,603.05147,610.91888
5.41667,293.17342,35.57737,209.1102,659.32358,604.22244,609.91518
5.42,278.86192,35.38768,207.78598,657.6508,605.56061,611.75523
5.42333,298.37742,35.26123,207.62046,657.31626,602.04784,610.08252
5.42667,264.55043,35.07154,207.62046,657.81808,604.22244,612.25711
5.43,260.64743,35.38768,210.59991,654.80713,603.38602,610.7516
5.43333,248.93794,35.32445,233.11127,655.81076,603.05147,609.91518
5.43667,350.4189,35.198,248.67061,659.15631,601.88057,609.41337
5.44,350.4189,35.32445,260.25732,656.31257,602.38239,610.91888
5.44333,395.95537,35.198,266.87833,656.64718,598.70229,611.9225
5.44667,434.98636,35.95676,259.09865,657.31626,600.2078,609.41337
5.45,425.87936,35.89354,253.3053,657.31626,600.2078,609.58064
5.45333,403.76137,35.198,251.15347,658.65443,601.7133,608.40974
5.45667,390.75137,35.07154,249.49821,657.81808,599.70598,609.74791
5.46,389.44988,35.07154,246.51879,657.31626,600.70961,608.74428
5.46333,381.64388,35.6406,247.01535,656.98172,598.70229,609.41337
5.46667,323.0974,35.26123,247.01535,656.64718,598.86956,607.40605
5.47,302.28042,35.76705,247.18087,657.14899,602.04784,608.0752
5.47333,308.78591,35.32445,240.39437,656.81445,601.88057,610.41706
5.47667,321.79591,34.94506,239.2357,656.64718,601.21142,607.74059
5.48,307.48491,35.26123,244.0359,658.48716,601.37876,608.91156
5.48333,328.3014,35.26123,246.35324,656.1453,597.19685,607.23878
5.48667,349.1179,35.51414,240.22885,658.98904,597.69866,608.0752
5.49,367.33239,35.13477,238.90463,656.31257,598.20048,608.91156
5.49333,373.83788,35.76705,240.89093,656.47984,598.20048,607.57332
5.49667,340.01089,35.76705,240.06333,657.48353,600.70961,607.23878
5.5,329.6024,35.26123,239.89778,655.64348,599.70598,607.40605
5.50333,327.0004,35.32445,243.37382,657.31626,598.86956,606.40242
5.50667,340.01089,35.51414,241.71856,659.15631,598.86956,608.24247
5.51,328.3014,35.38768,242.87723,657.48353,596.02588,606.23515
5.51333,327.0004,35.6406,245.19457,657.31626,600.70961,606.40242
5.51667,346.51589,35.45091,244.20142,656.81445,601.37876,608.74428
5.52,334.8064,35.51414,244.69801,657.81808,597.02957,605.73334
5.52333,349.1179,35.57737,247.18087,658.15262,600.2078,606.56969
5.52667,354.3219,35.6406,244.20142,657.6508,598.20048,607.90793
5.53,368.63339,35.57737,242.21515,656.47984,597.53139,606.73696
5.53333,323.0974,36.08322,244.20142,657.6508,594.52038,605.566
5.53667,345.21489,35.6406,249.9948,657.81808,599.70598,607.07151
5.54,328.3014,35.76705,247.67746,656.47984,598.53502,609.07883
5.54333,336.1074,36.08322,245.19457,655.64348,600.04052,605.566
5.54667,359.52639,36.6523,244.53249,658.15262,598.70229,604.22783
5.55,347.8169,36.46259,248.83613,656.1453,599.20417,606.56969
5.55333,359.52639,36.77876,248.50506,657.31626,595.3568,607.07151
5.55667,356.92439,37.15813,247.18087,656.47984,594.85498,604.56237
5.56,385.54688,36.52582,247.34639,657.31626,598.0332,606.56969
5.56333,412.86886,36.96845,251.15347,657.81808,598.70229,606.40242
5.56667,367.33239,36.96845,256.11923,655.97803,598.0332,605.23146
5.57,332.2044,37.15813,257.77446,657.14899,597.86593,605.23146
5.57333,355.6229,36.6523,253.47082,659.49085,596.36043,608.24247
5.57667,341.31189,36.33614,256.78131,654.9744,596.36043,605.73334
5.58,334.8064,36.6523,261.91258,656.98172,597.53139,604.89691
5.58333,347.8169,37.34782,261.08495,658.15262,598.0332,606.23515
5.58667,369.93439,36.71553,255.2916,657.81808,598.53502,607.07151
5.59,369.93439,37.60076,258.43657,656.64718,596.86224,605.23146
5.59333,390.75137,37.4743,260.75391,657.48353,597.36412,604.89691
5.59667,389.44988,37.4743,256.78131,657.48353,598.20048,605.73334
5.6,403.76137,38.10658,255.62264,656.47984,596.5277,606.56969
5.60333,395.95537,38.29629,262.40914,657.14899,595.85861,605.39873
5.60667,372.53639,38.16981,264.22992,658.65443,596.19315,605.23146
5.61,373.83788,38.48598,260.91943,655.64348,596.86224,605.73334
5.61333,371.23539,38.10658,265.88518,655.97803,597.02957,604.72964
5.61667,362.12839,38.16981,266.54726,658.82177,597.86593,606.23515
5.62,349.1179,38.29629,264.0644,654.80713,598.53502,605.90061
5.62333,375.13888,38.61244,263.56781,655.97803,594.35311,605.90061
5.62667,392.05237,38.48598,267.70593,657.31626,596.5277,605.39873
5.63,394.65437,38.61244,267.37489,655.30894,595.85861,605.90061
5.63333,399.85837,38.73889,267.70593,656.98172,597.53139,606.40242
5.63667,418.07287,38.67567,262.74021,656.64718,596.69497,606.06788
5.64,397.25637,38.86535,269.52672,657.6508,597.69866,605.90061
5.64333,385.54688,38.86535,267.20937,656.47984,594.68765,605.566
5.64667,382.94488,38.54921,270.35435,657.6508,597.36412,603.05687
5.65,382.94488,38.67567,273.83036,656.64718,597.19685,606.73696
5.65333,403.76137,37.4743,289.38967,654.63986,597.86593,605.73334
5.65667,366.03139,37.4743,281.61004,656.64718,597.53139,605.06419
5.66,405.06237,37.15813,269.52672,657.81808,598.0332,605.90061
5.66333,415.47087,36.84199,273.99588,656.47984,596.02588,606.56969
5.66667,410.26686,36.96845,282.43764,654.9744,595.3568,604.72964
5.67,412.86886,37.98013,282.43764,658.48716,593.68402,605.23146
5.67333,441.49185,37.66398,280.78238,658.65443,596.02588,605.566
5.67667,412.86886,38.48598,289.05863,655.47621,597.19685,606.06788
5.68,425.87936,38.04336,293.19675,656.31257,596.02588,605.23146
5.68333,403.76137,37.98013,292.86571,657.48353,596.86224,604.3951
5.68667,434.98636,38.10658,295.67961,655.64348,597.36412,605.90061
5.69,450.59885,37.79044,302.30059,657.14899,595.85861,604.56237
5.69333,429.78236,37.9169,295.84513,659.15631,594.52038,605.23146
5.69667,441.49185,37.4743,293.19675,656.31257,594.35311,605.73334
5.7,445.39485,37.72721,297.66591,657.31626,592.68039,605.06419
5.70333,475.31883,37.60076,306.60424,658.48716,597.02957,605.23146
5.70667,480.52283,37.41105,308.92158,655.30894,598.36775,605.73334
5.71,447.99685,38.10658,306.2732,656.47984,597.36412,604.89691
5.71333,476.61983,38.23304,302.30059,657.98535,596.02588,605.90061
5.71667,454.50185,38.92858,308.42502,655.64348,595.18953,605.23146
5.72,449.29785,39.3712,317.85997,656.98172,594.35311,604.56237
5.72333,470.11434,39.30798,324.64647,657.48353,594.68765,606.06788
5.72667,463.60934,39.30798,319.68068,657.14899,596.36043,605.23146
5.73,475.31883,39.05504,320.67387,656.47984,598.0332,605.90061
5.73333,500.03833,39.68735,328.78459,657.31626,598.20048,604.56237
5.73667,492.23233,38.48598,330.60537,659.65813,600.54234,604.56237
5.74,513.04882,37.66398,323.15673,657.48353,596.02588,606.40242
5.74333,489.62984,37.41105,323.32225,656.1453,592.68039,605.39873
5.74667,493.53333,37.28459,332.59167,658.82177,595.52407,605.39873
5.75,509.14582,36.6523,344.84046,658.15262,597.36412,604.89691
5.75333,487.02784,37.0949,345.1715,657.81808,598.0332,608.40974
5.75667,507.84482,38.48598,336.89532,654.47252,598.53502,605.73334
5.76,540.37031,39.11829,338.05396,657.48353,595.69134,604.89691
5.76333,529.96231,39.30798,350.13729,656.81445,593.85129,604.22783
5.76667,533.86531,39.3712,351.62696,657.48353,595.18953,605.39873
5.77,519.55382,39.43443,343.84734,658.15262,595.69134,605.73334
5.77333,533.86531,39.43443,344.01286,656.98172,597.69866,606.40242
5.77667,563.7893,39.18152,350.13729,656.1453,599.03683,607.57332
5.78,524.75831,39.11829,355.93061,656.98172,595.52407,605.90061
5.78333,532.56431,39.05504,350.79936,657.48353,597.02957,604.3951
5.78667,558.5853,37.79044,356.42723,657.31626,596.02588,605.39873
5.79,545.5748,38.29629,357.42035,657.14899,597.36412,606.90424
5.79333,548.1768,39.18152,351.79248,656.1453,598.53502,605.90061
5.79667,574.1973,39.43443,369.50368,655.64348,596.86224,607.57332
5.8,584.60579,39.87703,364.70347,657.14899,598.86956,605.90061
5.80333,559.8863,39.43443,360.23425,657.81808,598.70229,605.39873
5.80667,562.4883,39.43443,363.37925,656.1453,593.68402,606.73696
5.81,595.01428,39.62412,368.51049,656.98172,593.18221,604.72964
5.81333,568.9933,39.8138,373.97284,657.48353,595.02225,607.57332
5.81667,588.50879,39.94029,380.59382,655.97803,597.36412,606.40242
5.82,591.11079,38.61244,387.87689,656.47984,597.69866,606.90424
5.82333,600.21828,38.48598,385.22851,657.31626,596.36043,605.23146
5.82667,591.11079,38.54921,380.92486,657.81808,596.02588,606.56969
5.83,598.91728,38.67567,379.76622,655.47621,595.3568,605.90061
5.83333,644.45376,39.43443,387.04929,657.14899,594.18583,606.06788
5.83667,609.32577,39.43443,384.56643,657.6508,597.53139,605.23146
5.84,619.73378,39.68735,386.55273,657.98535,597.19685,609.41337
5.84333,626.23927,40.25643,389.69767,656.64718,596.86224,605.73334
5.84667,618.43277,39.94029,375.13148,659.15631,596.86224,606.90424
5.85,583.30479,39.56089,381.09038,654.63986,597.02957,606.40242
5.85333,627.54027,39.68735,385.39403,655.64348,594.85498,605.73334
5.85667,613.22877,40.44611,377.77992,657.6508,597.19685,605.06419
5.86,584.60579,39.56089,378.77304,656.1453,597.86593,607.57332
5.86333,596.31528,38.86535,387.04929,656.1453,593.34948,605.73334
5.86667,624.93778,38.48598,379.60064,658.82177,597.86593,606.06788
5.87,624.93778,38.61244,375.95914,657.14899,596.69497,607.74059
5.87333,587.20779,38.99181,385.72507,656.1453,594.68765,606.56969
5.87667,636.64727,39.62412,386.05617,658.15262,596.36043,606.40242
5.88,619.73378,39.56089,380.26278,655.97803,597.69866,606.06788
5.88333,589.80979,39.94029,378.93856,658.31989,596.5277,605.566
5.88667,610.62677,40.00351,390.52533,658.15262,598.0332,607.07151
5.89,580.70279,40.31966,378.60752,655.97803,595.69134,606.23515
5.89333,622.33578,39.94029,377.2833,659.15631,595.85861,607.57332
5.89667,608.02428,39.94029,383.2422,655.81076,597.02957,608.40974
5.9,557.28381,40.38289,375.95914,656.64718,595.52407,605.06419
5.90333,598.91728,39.30798,364.86899,657.31626,600.04052,606.90424
5.90667,592.41228,38.35952,372.97966,655.97803,598.0332,607.74059
5.91,584.60579,37.79044,383.90435,656.64718,595.85861,606.23515
5.91333,631.44327,38.48598,375.79362,657.98535,594.35311,607.90793
5.91667,624.93778,38.92858,370.4968,656.47984,596.5277,607.40605
5.92,576.79979,38.48598,375.13148,655.30894,595.02225,606.56969
5.92333,592.41228,39.43443,373.47628,657.14899,597.86593,605.90061
5.92667,605.42228,39.43443,363.21373,658.65443,597.36412,607.40605
5.93,593.71328,39.11829,381.09038,657.48353,596.86224,606.90424
5.93333,592.41228,39.75058,382.24908,659.15631,595.02225,605.39873
5.93667,585.90679,39.30798,369.17264,658.82177,597.36412,606.90424
5.94,571.5953,39.68735,379.43512,654.63986,595.52407,606.40242
5.94333,587.20779,39.49766,380.26278,656.31257,597.69866,607.40605
5.94667,640.55027,38.35952,373.80732,656.81445,598.20048,607.74059
5.95,609.32577,39.11829,372.64862,655.14167,598.0332,607.07151
5.95333,608.02428,39.3712,380.09726,657.14899,595.02225,607.07151
5.95667,615.83077,38.67567,372.81414,657.81808,597.69866,607.90793
5.96,592.41228,38.92858,371.98654,655.47621,595.02225,605.73334
5.96333,584.60579,38.16981,379.10408,657.98535,599.87325,607.74059
5.96667,600.21828,38.67567,378.27648,655.47621,596.86224,608.40974
5.97,587.20779,39.8138,377.77992,656.64718,597.53139,605.23146
5.97333,574.1973,39.62412,372.64862,657.31626,597.86593,607.57332
5.97667,597.61628,40.00351,362.38607,660.66175,597.19685,608.57701
5.98,550.7788,40.12997,370.66232,655.97803,596.02588,607.40605
5.98333,613.22877,40.38289,374.80044,657.81808,598.0332,606.90424
5.98667,575.49879,40.06674,380.4283,658.15262,597.02957,606.73696
5.99,606.72328,38.61244,375.297,655.64348,598.70229,607.74059
5.99333,605.42228,39.3712,370.66232,655.97803,595.18953,606.40242
5.99667,626.23927,38.48598,374.63492,658.15262,596.69497,606.73696
6,580.70279,38.04336,377.94544,656.64718,597.02957,607.90793
6.00333,585.90679,39.3712,373.31076,656.47984,596.5277,606.90424
6.00667,615.83077,40.1932,368.67601,657.14899,598.0332,605.39873
6.01,579.40179,39.94029,371.98654,658.15262,600.04052,607.57332
6.01333,585.90679,40.44611,373.97284,655.30894,596.5277,606.73696
6.01667,596.31528,39.49766,376.62122,657.14899,595.3568,606.73696
6.02,600.21828,39.94029,375.79362,658.15262,599.37144,607.57332
6.02333,609.32577,40.69903,371.32446,655.97803,597.19685,607.40605
6.02667,571.5953,41.07842,375.6281,656.64718,597.19685,605.566
6.03,605.42228,41.33134,379.43512,658.65443,597.86593,607.07151
6.03333,589.80979,40.12997,371.48998,656.47984,598.70229,608.40974
6.03667,615.83077,40.88874,373.6418,656.47984,597.36412,607.23878
6.04,568.9933,40.57257,367.35186,657.81808,596.5277,607.40605
6.04333,574.1973,40.44611,361.88951,655.97803,598.0332,607.40605
6.04667,585.90679,41.0152,370.66232,656.47984,596.86224,607.40605
6.05,570.2943,41.20488,375.95914,657.81808,597.19685,608.24247
6.05333,571.5953,40.69903,356.42723,655.97803,597.19685,608.57701
6.05667,561.1873,41.71073,363.54477,656.47984,597.19685,606.90424
6.06,548.1768,41.14165,370.99336,656.1453,596.02588,610.24979
6.06333,583.30479,41.0152,363.37925,657.31626,597.36412,605.06419
6.06667,605.42228,41.83719,362.38607,658.98904,599.87325,609.58064
6.07,580.70279,41.83719,363.04821,654.9744,597.53139,607.57332
6.07333,601.51928,40.57257,368.84153,656.98172,598.70229,606.90424
6.07667,578.10079,41.07842,361.06191,657.81808,598.70229,608.0752
6.08,579.40179,41.20488,360.89639,657.14899,596.69497,609.58064
6.08333,584.60579,41.83719,372.64862,657.48353,596.5277,607.23878
6.08667,575.49879,41.71073,358.24801,657.48353,601.37876,608.74428
6.09,558.5853,42.34304,357.75139,656.47984,598.53502,609.2461
6.09333,536.46731,42.72242,368.67601,657.14899,595.18953,605.90061
6.09667,542.9728,42.27979,367.18634,657.31626,599.70598,608.24247
6.1,588.50879,42.09011,357.75139,654.9744,597.69866,608.57701
6.10333,583.30479,41.96365,353.44775,656.64718,596.36043,607.07151
6.10667,585.90679,42.40627,364.04133,658.65443,600.2078,607.90793
6.11,598.91728,42.27979,368.67601,656.1453,598.86956,609.41337
6.11333,582.00379,42.40627,361.06191,657.6508,596.5277,607.23878
6.11667,545.5748,42.40627,351.79248,656.98172,600.37507,608.24247
6.12,515.65082,42.02688,359.57217,656.47984,596.02588,606.73696
6.12333,570.2943,42.78564,367.35186,658.98904,599.37144,607.40605
6.12667,589.80979,42.65919,355.76509,656.64718,596.02588,608.24247
6.13,584.60579,42.34304,354.44093,655.81076,597.19685,609.2461
6.13333,565.0903,42.59596,353.94431,657.48353,598.53502,606.06788
6.13667,536.46731,42.4695,346.49572,656.81445,600.70961,608.91156
6.14,541.6718,42.59596,344.50942,655.47621,598.36775,607.90793
6.14333,537.76831,42.84887,354.60645,658.48716,596.69497,607.90793
6.14667,549.4778,42.40627,354.44093,657.31626,596.69497,608.40974
6.15,563.7893,42.65919,344.67494,656.81445,596.19315,607.57332
6.15333,597.61628,42.15333,356.75827,657.14899,598.20048,609.41337
6.15667,582.00379,42.53273,351.46144,654.80713,599.37144,607.74059
6.16,574.1973,42.34304,342.19208,655.97803,598.20048,607.23878
6.16333,570.2943,42.09011,352.45463,658.82177,597.19685,608.0752
6.16667,548.1768,42.15333,357.08931,658.98904,598.86956,608.91156
6.17,561.1873,42.78564,342.85416,655.81076,596.19315,608.57701
6.17333,574.1973,42.59596,350.96488,656.98172,596.19315,607.40605
6.17667,550.7788,42.65919,352.12359,657.48353,598.20048,607.40605
6.18,593.71328,42.34304,348.64754,660.49448,600.70961,610.41706
6.18333,550.7788,42.4695,339.5437,656.47984,598.70229,608.40974
6.18667,568.9933,42.59596,339.87474,657.14899,598.70229,607.74059
6.19,542.9728,42.09011,358.91009,659.15631,599.87325,608.40974
6.19333,578.10079,42.09011,352.78567,656.64718,595.52407,610.41706
6.19667,553.38081,42.02688,341.53,657.14899,596.5277,606.73696
6.2,589.80979,41.96365,348.81306,656.81445,600.87688,608.40974
6.20333,585.90679,41.90042,361.39295,657.31626,601.37876,609.41337
6.20667,587.20779,41.83719,344.17838,656.64718,596.36043,608.0752
6.21,574.1973,41.83719,346.49572,658.65443,599.87325,608.57701
6.21333,589.80979,41.20488,357.25483,657.48353,595.69134,609.58064
6.21667,533.86531,41.83719,351.46144,657.6508,596.02588,608.91156
6.22,549.4778,41.39457,343.35078,658.48716,596.86224,607.90793
6.22333,575.49879,40.95197,351.62696,658.48716,602.71693,610.08252
6.22667,566.3913,41.33134,357.58587,656.47984,598.70229,610.24979
6.23,588.50879,41.58428,352.62015,657.48353,598.20048,608.24247
6.23333,596.31528,41.33134,345.1715,659.15631,598.86956,608.40974
6.23667,601.51928,41.0152,359.24113,655.97803,596.5277,608.91156
6.24,567.6923,41.20488,351.95807,658.65443,596.36043,608.24247
6.24333,539.06931,40.88874,341.03338,659.65813,600.37507,611.08615
6.24667,511.74782,40.88874,351.95807,654.9744,599.20417,609.07883
6.25,544.2738,41.39457,349.30962,657.81808,596.69497,608.91156
6.25333,548.1768,40.82551,344.67494,657.14899,598.0332,609.2461
6.25667,582.00379,40.88874,346.16468,655.81076,599.37144,609.74791
6.26,570.2943,40.95197,352.62015,657.48353,598.0332,608.0752
6.26333,550.7788,40.38289,346.16468,658.48716,597.53139,610.08252
6.26667,514.34982,40.57257,340.04026,656.31257,596.5277,609.41337
6.27,524.75831,40.76228,352.12359,657.98535,597.69866,609.74791
6.27333,506.54333,40.1932,352.62015,658.15262,598.36775,609.2461
6.27667,498.73733,40.38289,348.15098,656.47984,598.86956,608.57701
6.28,537.76831,40.57257,352.12359,657.48353,596.5277,608.0752
6.28333,588.50879,40.50934,350.63384,657.6508,599.03683,609.58064
6.28667,583.30479,40.50934,348.3165,656.98172,597.53139,609.2461
6.29,563.7893,40.1932,364.70347,658.48716,599.20417,608.91156
6.29333,549.4778,39.75058,353.94431,658.65443,598.20048,610.7516
6.29667,524.75831,40.12997,334.57791,657.31626,596.69497,609.41337
6.3,561.1873,40.44611,350.79936,657.14899,596.36043,608.24247
6.30333,537.76831,39.68735,350.30281,657.6508,596.69497,610.24979
6.30667,532.56431,40.06674,337.39188,657.14899,596.86224,608.57701
6.31,548.1768,40.00351,344.67494,658.15262,599.03683,609.91518
6.31333,565.0903,39.75058,355.26853,658.15262,601.04415,612.25711
6.31667,506.54333,39.68735,362.38607,657.14899,597.69866,608.0752
6.32,535.16631,39.75058,347.48884,657.98535,598.70229,609.2461
6.32333,546.8758,39.75058,359.73769,657.31626,599.53871,609.58064
6.32667,604.12128,39.49766,369.33816,657.48353,596.69497,608.91156
6.33,582.00379,39.62412,357.08931,659.15631,598.0332,607.90793
6.33333,605.42228,38.80212,352.95119,657.6508,599.20417,611.08615
6.33667,568.9933,39.8138,359.24113,656.47984,597.86593,609.2461
6.34,528.66131,39.87703,362.71717,657.14899,597.69866,607.90793
6.34333,533.86531,39.30798,356.92379,657.81808,598.20048,610.7516
6.34667,578.10079,39.56089,359.57217,656.1453,596.69497,609.07883
6.35,588.50879,39.49766,364.37237,657.98535,597.86593,610.08252
6.35333,596.31528,39.30798,360.23425,658.48716,600.04052,610.91888
6.35667,558.5853,39.43443,366.35867,656.31257,600.04052,610.08252
6.36,584.60579,39.24475,362.88269,657.48353,597.69866,609.07883
6.36333,600.21828,38.99181,359.24113,658.31989,599.37144,609.74791
6.36667,578.10079,38.92858,364.20685,656.47984,597.02957,609.58064
6.37,593.71328,39.11829,354.44093,657.48353,599.70598,608.24247
6.37333,584.60579,38.48598,352.95119,656.81445,597.19685,610.91888
6.37667,571.5953,39.05504,346.16468,655.97803,597.53139,610.24979
6.38,532.56431,38.73889,340.53682,657.6508,596.02588,609.58064
6.38333,518.25282,38.42275,350.79936,657.81808,601.37876,610.91888
6.38667,532.56431,38.67567,335.40558,656.1453,598.20048,608.57701
6.39,509.14582,38.92858,328.95011,658.15262,603.72062,609.58064
6.39333,509.14582,38.48598,350.13729,656.47984,601.7133,611.08615
6.39667,558.5853,38.35952,346.16468,657.48353,599.70598,608.91156
6.4,571.5953,38.29629,337.22636,657.81808,597.19685,609.2461
6.40333,555.98281,38.04336,332.59167,655.81076,597.69866,610.58433
