Time (sec),Time Since Ignition (sec),LC1 Axial Load (lbf),PT1 Combustion Pressure (psi),PT2 Feedline Pressure (psi),PT3 Injector Pressure (psi),PT4 Ox-Tank Pressure (psi)
7910.28,0.28,-75.02042,0.21795,740.2853,743.89813,741.22712
7910.28333,0.28333,-73.71942,1.04558,742.79443,744.06547,744.73994
7910.28667,0.28667,-71.11742,0.88006,741.95807,742.55996,742.8999
7910.29,0.29,-73.71942,1.87321,742.12535,744.56728,742.06354
7910.29333,0.29333,-82.82691,0.05243,741.62353,744.06547,743.90352
7910.29667,0.29667,-65.91342,0.54901,743.46358,744.56728,742.23081
7910.3,0.3,-72.41842,-0.11309,741.7908,745.90545,744.4054
7910.30333,0.30333,-76.32142,0.88006,742.62716,743.06177,743.40171
7910.30667,0.30667,-77.62242,-0.27861,742.79443,745.23637,743.06717
7910.31,0.31,-80.22442,-0.11309,741.45626,743.73086,743.40171
7910.31333,0.31333,-73.71942,1.70768,742.9617,744.23274,743.23444
7910.31667,0.31667,-63.31093,-1.43729,742.12535,744.23274,742.56535
7910.32,0.32,-76.32142,1.70768,741.45626,745.57091,741.72893
7910.32333,0.32333,-73.71942,-0.44414,742.12535,744.40001,745.24176
7910.32667,0.32667,-75.02042,0.71453,742.12535,743.56359,742.56535
7910.33,0.33,-71.11742,-0.11309,743.12904,744.73455,742.8999
7910.33333,0.33333,-72.41842,1.54216,742.12535,742.55996,741.8962
7910.33667,0.33667,-64.61242,0.54901,744.29994,744.73455,742.73262
7910.34,0.34,-72.41842,0.05243,740.61984,744.23274,741.72893
7910.34333,0.34333,-76.32142,-0.27861,743.29631,744.56728,744.23813
7910.34667,0.34667,-71.11742,0.21795,742.29262,744.06547,741.8962
7910.35,0.35,-76.32142,0.54901,742.9617,745.57091,744.07086
7910.35333,0.35333,-84.12791,0.38349,741.62353,743.39632,743.23444
7910.35667,0.35667,-73.71942,0.05243,744.13267,745.23637,742.73262
7910.36,0.36,-85.42891,-0.27861,740.45257,745.0691,743.56898
7910.36333,0.36333,-73.71942,1.04558,742.62716,743.39632,743.90352
7910.36667,0.36667,-81.52591,-0.44414,741.45626,745.57091,743.56898
7910.37,0.37,-76.32142,0.54901,741.95807,743.56359,743.06717
7910.37333,0.37333,-73.71942,1.70768,743.29631,744.56728,744.57267
7910.37667,0.37667,-65.91342,-1.43729,742.62716,743.22905,742.73262
7910.38,0.38,-80.22442,0.71453,742.12535,745.0691,741.8962
7910.38333,0.38333,-71.11742,-0.77518,743.12904,743.73086,744.90722
7910.38667,0.38667,-71.11742,0.05243,741.95807,743.56359,742.39808
7910.39,0.39,-84.12791,0.54901,743.12904,745.23637,743.90352
7910.39333,0.39333,-86.72991,0.71453,741.45626,743.22905,743.90352
7910.39667,0.39667,-81.52591,0.38349,743.63085,744.56728,743.23444
7910.4,0.4,-82.82691,-1.43729,739.95075,745.23637,743.06717
7910.40333,0.40333,-72.41842,1.37664,742.9617,744.56728,743.23444
7910.40667,0.40667,-71.11742,0.05243,741.45626,744.90182,744.07086
7910.41,0.41,-68.51542,0.71453,742.29262,743.56359,741.8962
7910.41333,0.41333,-73.71942,0.54901,742.62716,745.0691,744.57267
7910.41667,0.41667,-71.11742,-0.27861,742.29262,744.73455,743.23444
7910.42,0.42,-71.11742,1.04558,743.46358,744.56728,743.90352
7910.42333,0.42333,-77.62242,-0.44414,741.28899,743.73086,744.73994
7910.42667,0.42667,-72.41842,1.2111,741.95807,743.39632,742.06354
7910.43,0.43,-75.02042,2.53531,743.12904,744.56728,743.90352
7910.43333,0.43333,-69.81642,0.38349,743.12904,742.8945,743.56898
7910.43667,0.43667,-71.11742,1.37664,742.9617,745.40364,742.06354
7910.44,0.44,-76.32142,-0.44414,741.95807,744.90182,744.07086
7910.44333,0.44333,-67.21442,0.71453,742.12535,742.8945,743.40171
7910.44667,0.44667,-73.71942,1.70768,743.12904,744.40001,741.22712
7910.45,0.45,-76.32142,0.38349,742.29262,745.23637,743.23444
7910.45333,0.45333,-80.22442,1.2111,742.62716,743.56359,743.23444
7910.45667,0.45667,-73.71942,1.04558,744.63448,745.73818,743.56898
7910.46,0.46,-82.82691,-0.44414,742.12535,743.89813,744.07086
7910.46333,0.46333,-71.11742,1.2111,742.9617,743.89813,742.56535
7910.46667,0.46667,-71.11742,-0.27861,743.12904,744.90182,743.40171
7910.47,0.47,-73.71942,1.2111,741.62353,743.22905,742.06354
7910.47333,0.47333,-81.52591,1.70768,743.63085,744.40001,742.56535
7910.47667,0.47667,-59.40792,-0.11309,741.95807,744.06547,743.06717
7910.48,0.48,-73.71942,1.2111,743.63085,745.0691,742.8999
7910.48333,0.48333,-65.91342,0.05243,742.29262,744.06547,744.90722
7910.48667,0.48667,-77.62242,0.71453,742.62716,744.06547,741.05985
7910.49,0.49,-76.32142,1.70768,743.46358,745.73818,743.23444
7910.49333,0.49333,-73.71942,0.71453,742.45989,743.56359,743.23444
7910.49667,0.49667,-60.70893,0.21795,744.29994,743.56359,742.56535
7910.5,0.5,-77.62242,1.2111,741.95807,745.57091,743.23444
7910.50333,0.50333,-72.41842,0.54901,741.95807,741.89087,742.8999
7910.50667,0.50667,-67.21442,0.88006,743.29631,744.90182,743.06717
7910.51,0.51,-73.71942,-0.44414,741.45626,744.56728,742.56535
7910.51333,0.51333,-73.71942,2.86635,741.62353,744.23274,741.8962
7910.51667,0.51667,-60.70893,-1.93387,741.62353,744.23274,743.06717
7910.52,0.52,-68.51542,1.54216,742.45989,745.40364,741.39439
7910.52333,0.52333,-67.21442,-0.11309,741.45626,744.23274,743.73625
7910.52667,0.52667,-73.71942,1.70768,741.45626,744.56728,742.73262
7910.53,0.53,-80.22442,-0.27861,742.12535,745.23637,743.73625
7910.53333,0.53333,-80.22442,1.04558,741.95807,743.39632,742.39808
7910.53667,0.53667,-71.11742,-0.11309,743.46358,744.56728,743.40171
