Time (s),Combustion (psi),Feed (psi),Injector (psi),Ox Tank (psi)
5.285,301.55,650.2416,558.3057,580.0366
5.33,297.392,650.2416,557.6195,579.7188
5.373,291.344,650.2416,556.2471,578.7654
5.417,266.018,650.525,556.5902,578.1298
5.462,296.258,650.2416,553.8454,576.8586
5.506,292.1,650.2416,553.8454,576.8586
5.549,292.1,650.525,553.1592,575.5874
5.592,282.65,650.2416,552.1299,575.2696
5.64,292.478,650.2416,551.7868,574.3162
5.685,295.88,649.9582,550.7575,573.045
5.752,290.966,649.9582,549.3851,571.1382
5.767,273.956,649.9582,549.3851,571.1382
5.812,286.052,649.9582,549.042,570.5026
5.854,287.186,649.9582,549.042,569.867
5.898,295.88,649.9582,548.0127,569.2314
5.941,290.588,649.9582,546.6403,568.278
5.987,276.98,650.2416,545.9541,566.689
6.03,287.186,650.2416,545.9541,566.689
6.074,287.186,649.9582,544.5817,565.7356
6.117,285.674,650.2416,544.2386,565.1
6.161,294.368,649.9582,542.5231,564.4644
6.204,287.564,649.9582,542.5231,563.511
6.249,283.784,649.9582,541.8369,562.5576
6.296,295.502,650.2416,539.7783,562.2398
6.338,306.086,650.525,539.7783,560.9686
6.4,284.918,649.9582,539.7783,560.333
6.426,276.602,649.9582,538.749,559.3796
6.472,283.784,650.2416,537.0335,557.4728
6.514,267.908,650.2416,537.0335,557.4728
6.558,281.516,650.2416,536.3473,556.8372
6.603,255.056,650.2416,535.6611,556.2016
6.649,263.75,650.2416,533.9456,554.2948
6.692,280.76,650.2416,533.9456,554.2948
6.736,280.382,650.2416,532.2301,552.388
6.779,268.664,650.2416,532.2301,552.388
6.826,275.468,649.9582,531.2008,550.4812
6.866,272.444,649.9582,531.2008,550.4812
6.917,260.348,650.2416,529.1422,550.1634
6.966,274.334,650.2416,529.1422,549.5278
7.011,273.578,650.2416,528.7991,548.5744
7.049,269.798,649.9582,527.4267,546.9854
7.09,270.176,649.9582,527.4267,546.9854
7.135,266.774,650.2416,526.3974,546.3498
7.178,268.664,649.9582,526.0543,545.0786
7.228,268.286,650.2416,524.3388,543.8074
7.266,274.334,650.2416,524.3388,543.8074
7.31,274.334,649.9582,522.9664,542.854
7.354,281.516,649.9582,522.2802,542.2184
7.409,263.372,650.2416,520.2216,539.9938
7.446,277.358,650.2416,519.5354,539.9938
7.488,265.262,650.2416,519.5354,539.9938
7.532,281.516,650.2416,518.8492,539.0404
7.582,267.908,650.2416,517.4768,538.087
7.621,264.884,650.2416,517.4768,537.4514
7.663,262.994,650.2416,516.1044,536.1802
7.71,248.252,649.9582,515.0751,536.1802
7.751,257.324,649.9582,515.0751,535.2268
7.795,270.932,649.9582,514.3889,534.2734
7.839,247.118,649.9582,513.3596,533.32
7.883,254.678,650.2416,512.6734,532.6844
7.929,264.128,649.9582,512.3303,531.731
7.972,268.664,649.9582,511.6441,530.4598
8.016,263.75,649.9582,509.5855,529.8242
8.065,263.372,649.9582,508.8993,529.1886
8.107,261.86,649.9582,507.5269,527.2818
8.148,264.128,649.9582,507.5269,527.2818
8.193,265.262,649.9582,507.1838,526.6462
8.24,266.396,649.9582,505.4683,525.375
8.281,259.97,649.9582,505.4683,524.4216
8.325,246.74,649.9582,504.439,523.786
8.368,261.482,650.2416,503.7528,523.1504
8.412,255.056,649.9582,503.0666,522.197
8.456,267.53,649.9582,502.0373,521.5614
8.501,248.252,649.9582,501.3511,520.9258
8.551,258.458,649.6748,501.008,519.6546
8.591,259.592,649.9582,498.6063,519.019
8.638,233.132,649.9582,498.6063,518.0656
8.676,245.606,649.9582,497.9201,517.43
8.721,243.338,649.6748,496.2046,516.1588
8.766,261.86,649.9582,495.5184,514.5698
8.812,258.08,649.9582,495.5184,514.5698
8.855,242.582,649.6748,494.4891,513.9342
8.898,247.874,649.6748,493.8029,512.9808
8.943,269.42,649.6748,492.7736,511.074
8.988,252.032,649.6748,491.7443,511.074
9.03,254.3,649.6748,491.7443,510.4384
9.075,247.874,649.9582,490.3719,509.485
9.126,241.448,649.9582,490.3719,509.1672
9.164,243.338,649.9582,488.6564,507.896
9.207,247.874,649.9582,488.6564,507.2604
9.252,255.812,650.2416,487.6271,506.6248
9.295,221.036,650.2416,486.9409,505.3536
9.339,229.352,650.2416,485.2254,503.7646
9.401,238.046,650.2416,485.2254,503.7646
9.426,239.936,650.2416,484.5392,503.129
9.469,229.352,650.2416,483.853,502.1756
9.513,219.524,649.9582,483.1668,501.2222
9.566,235.778,650.2416,482.1375,500.5866
9.601,242.204,650.2416,481.1082,499.3154
9.644,250.52,650.2416,480.0789,498.9976
9.982,222.17,650.2416,479.7358,497.7264
11.689,107.636,649.9582,475.2755,493.2772
13.405,50.558,650.2416,427.5846,449.4208
15.109,25.988,650.2416,212.804,225.3718
16.812,-2.362,650.2416,212.804,225.3718
18.529,66.434,649.9582,151.3891,160.2228
20.226,-20.506,635.2214,81.0536,90.6246
21.94,-24.664,649.9582,72.8192,78.2304
23.645,-26.932,649.9582,35.7644,39.7766
25.351,-26.554,649.9582,35.7644,39.7766
27.063,-24.286,649.6748,26.1576,30.2426
28.768,-31.846,650.2416,20.3249,23.5688
30.474,-28.444,650.2416,17.9232,20.073
32.182,-29.956,650.2416,17.237,19.4374
33.892,-27.688,650.2416,17.237,19.4374
35.595,-31.468,650.2416,16.8939,18.8018
